node_A,node_B,node_C
D0538335,D0549280,D0556258
D0538335,D0549280,D0557334
D0549280,D0556258,D0557334
D0544907,D0556253,D0558262
D0537470,D0538842,D0538843
D0537470,D0538842,D0539334
D0537470,D0538842,D0539837
D0537470,D0538842,D0545886
D0537470,D0538842,D0552669
D0537470,D0538843,D0539334
D0537470,D0538843,D0539837
D0537470,D0538843,D0545886
D0537470,D0538843,D0552669
D0537470,D0539334,D0539837
D0537470,D0539334,D0545886
D0537470,D0539334,D0552669
D0537470,D0539837,D0545886
D0537470,D0539837,D0552669
D0537470,D0545886,D0552669
D0537470,D0545886,D0545887
D0538842,D0538843,D0539334
D0538842,D0538843,D0539837
D0538842,D0538843,D0545886
D0538842,D0538843,D0552669
D0538842,D0539334,D0539837
D0538842,D0539334,D0545886
D0538842,D0539334,D0552669
D0538842,D0539837,D0545886
D0538842,D0539837,D0552669
D0538842,D0545886,D0552669
D0538842,D0545886,D0545887
D0538843,D0539334,D0539837
D0538843,D0539334,D0545886
D0538843,D0539334,D0552669
D0538843,D0539837,D0545886
D0538843,D0539837,D0552669
D0538843,D0545886,D0552669
D0538843,D0545886,D0545887
D0539334,D0539837,D0545886
D0539334,D0539837,D0552669
D0539334,D0545886,D0552669
D0539334,D0545886,D0545887
D0539837,D0545886,D0552669
D0539837,D0545886,D0545887
D0536374,D0540855,D0549280
D0536374,D0540855,D0556258
D0536374,D0540855,D0557334
D0536374,D0540855,D0541337
D0536374,D0549280,D0556258
D0536374,D0549280,D0557334
D0536374,D0556258,D0557334
D0540855,D0549280,D0556258
D0540855,D0549280,D0557334
D0540855,D0556258,D0557334
D0534579,D0549771,D0552170
D0534579,D0549771,D0554698
D0534579,D0552170,D0554698
D0549771,D0552170,D0554698
D0536726,D0542333,D0542834
D0536726,D0542333,D0543231
D0536726,D0542333,D0545882
D0536726,D0542834,D0543231
D0536726,D0542834,D0545882
D0536726,D0543231,D0545882
D0542333,D0542834,D0543231
D0542333,D0542834,D0545882
D0542333,D0543231,D0545882
D0542834,D0543231,D0545882
D0544903,D0547361,D0553669
D0544903,D0547361,D0554694
D0548272,D0548273,D0555716
D0548272,D0548273,D0558257
D0548272,D0548273,D0557735
D0548272,D0555716,D0558257
D0548272,D0557735,D0558257
D0548273,D0555716,D0558257
D0548273,D0557735,D0558257
D0537114,D0544907,D0556253
D0537114,D0544907,D0558262
D0535324,D0548278,D0552167
D0535324,D0548278,D0553184
D0535324,D0552167,D0553184
D0548278,D0552167,D0553184
D0537477,D0538338,D0547368
D0537477,D0538338,D0551286
D0537477,D0547368,D0551286
D0538338,D0547368,D0551286
D0540849,D0550277,D0552669
D0559893,D0569421,D0580485
D0559893,D0569421,D0580971
D0559893,D0580485,D0580971
D0569421,D0580485,D0580971
D0575330,D0579973,D0581976
D0560711,D0562377,D0582471
D0574417,D0574418,D0574419
D0574417,D0574418,D0574420
D0574417,D0574418,D0574421
D0574417,D0574418,D0574422
D0574417,D0574418,D0579481
D0574417,D0574418,D0579482
D0574417,D0574419,D0574420
D0574417,D0574419,D0574421
D0574417,D0574419,D0574422
D0574417,D0574419,D0579481
D0574417,D0574419,D0579482
D0574417,D0574420,D0574421
D0574417,D0574420,D0574422
D0574417,D0574420,D0579481
D0574417,D0574420,D0579482
D0574417,D0574421,D0574422
D0574417,D0574421,D0579481
D0574417,D0574421,D0579482
D0574417,D0574422,D0579481
D0574417,D0574422,D0579482
D0574417,D0579481,D0579482
D0574418,D0574419,D0574420
D0574418,D0574419,D0574421
D0574418,D0574419,D0574422
D0574418,D0574419,D0579481
D0574418,D0574419,D0579482
D0574418,D0574420,D0574421
D0574418,D0574420,D0574422
D0574418,D0574420,D0579481
D0574418,D0574420,D0579482
D0574418,D0574421,D0574422
D0574418,D0574421,D0579481
D0574418,D0574421,D0579482
D0574418,D0574422,D0579481
D0574418,D0574422,D0579482
D0574418,D0579481,D0579482
D0574419,D0574420,D0574421
D0574419,D0574420,D0574422
D0574419,D0574420,D0579481
D0574419,D0574420,D0579482
D0574419,D0574421,D0574422
D0574419,D0574421,D0579481
D0574419,D0574421,D0579482
D0574419,D0574422,D0579481
D0574419,D0574422,D0579482
D0574419,D0579481,D0579482
D0574420,D0574421,D0574422
D0574420,D0574421,D0579481
D0574420,D0574421,D0579482
D0574420,D0574422,D0579481
D0574420,D0574422,D0579482
D0574420,D0579481,D0579482
D0574421,D0574422,D0579481
D0574421,D0574422,D0579482
D0574421,D0579481,D0579482
D0574422,D0579481,D0579482
D0573180,D0581457,D0581975
D0585483,D0588190,D0596663
D0585483,D0588190,D0588633
D0591335,D0602073,D0602074
D0591335,D0602073,D0602518
D0591335,D0602073,D0604763
D0591335,D0602074,D0602518
D0591335,D0602074,D0604763
D0591335,D0602518,D0604763
D0602073,D0602074,D0602518
D0602073,D0602074,D0604763
D0602073,D0602518,D0604763
D0602074,D0602518,D0604763
D0587296,D0594055,D0598045
D0595345,D0595346,D0597131
D0586849,D0587748,D0591340
D0586849,D0587748,D0592241
D0586849,D0587748,D0595767
D0586849,D0591340,D0592241
D0586849,D0591340,D0595767
D0586849,D0592241,D0595767
D0587748,D0591340,D0592241
D0587748,D0591340,D0595767
D0587748,D0592241,D0595767
D0591340,D0592241,D0595767
D0591791,D0592241,D0595767
D0585090,D0586849,D0587748
D0585090,D0586849,D0591340
D0585090,D0586849,D0592241
D0585090,D0586849,D0595767
D0585090,D0586849,D0591792
D0608822,D0611530,D0616019
D0607502,D0607925,D0614234
D0611525,D0615122,D0615123
D0611525,D0615122,D0616924
D0611525,D0615122,D0616925
D0611525,D0615122,D0616926
D0611525,D0615123,D0616924
D0611525,D0615123,D0616925
D0611525,D0615123,D0616926
D0611525,D0616924,D0616925
D0611525,D0616924,D0616926
D0611525,D0616925,D0616926
D0611525,D0616490,D0618275
D0611525,D0616490,D0616923
D0615122,D0615123,D0616924
D0615122,D0615123,D0616925
D0615122,D0615123,D0616926
D0615122,D0616924,D0616925
D0615122,D0616924,D0616926
D0615122,D0616925,D0616926
D0615123,D0616924,D0616925
D0615123,D0616924,D0616926
D0615123,D0616925,D0616926
D0616924,D0616925,D0616926
D0614695,D0626589,D0629041
D0613331,D0626589,D0629041
D0612415,D0612417,D0613331
D0612415,D0613331,D0626589
D0612417,D0613331,D0626589
D0614687,D0615583,D0620519
D0614687,D0615583,D0617830
D0614687,D0615120,D0615583
D0615120,D0615583,D0620519
D0615120,D0615583,D0617830
D0644683,D0647558,D0648776
D0644683,D0647558,D0648777
D0644683,D0647558,D0648778
D0644683,D0647558,D0648779
D0644683,D0648776,D0648777
D0644683,D0648776,D0648778
D0644683,D0648776,D0648779
D0644683,D0648777,D0648778
D0644683,D0648777,D0648779
D0644683,D0648778,D0648779
D0647558,D0648776,D0648777
D0647558,D0648776,D0648778
D0647558,D0648776,D0648779
D0647558,D0648777,D0648778
D0647558,D0648777,D0648779
D0647558,D0648778,D0648779
D0648776,D0648777,D0648778
D0648776,D0648777,D0648779
D0648776,D0648778,D0648779
D0648777,D0648778,D0648779
D0631504,D0631505,D0639847
D0631504,D0631505,D0650834
D0631504,D0639847,D0650834
D0631504,D0639847,D0643058
D0631505,D0639847,D0650834
D0631505,D0639847,D0643058
D0640737,D0648783,D0650417
D0630243,D0630244,D0636435
D0630243,D0630244,D0636436
D0630243,D0630244,D0636813
D0630243,D0636435,D0636436
D0630243,D0636435,D0636813
D0630243,D0636436,D0636813
D0630244,D0636435,D0636436
D0630244,D0636435,D0636813
D0630244,D0636436,D0636813
D0636435,D0636436,D0636813
D0633557,D0639847,D0650834
D0633557,D0639847,D0643058
D0647952,D0647953,D0648375
D0631088,D0631089,D0631090
D0653702,D0655748,D0656181
D0667051,D0670327,D0671593
D0664192,D0667051,D0670327
D0665016,D0665840,D0667051
D0665016,D0667051,D0670327
D0665840,D0667051,D0670327
D0665014,D0665015,D0665016
D0665014,D0665015,D0667050
D0665014,D0665015,D0667489
D0665014,D0665016,D0665840
D0665014,D0665016,D0667051
D0665014,D0665016,D0667050
D0665015,D0665016,D0665840
D0665015,D0665016,D0667051
D0665015,D0665016,D0667050
D0665015,D0667489,D0667490
D0656184,D0656185,D0656540
D0656184,D0656185,D0666240
D0656184,D0656185,D0656186
D0656184,D0656540,D0666240
D0656184,D0656540,D0667492
D0656184,D0656540,D0667493
D0656184,D0656186,D0656540
D0656185,D0656540,D0666240
D0656185,D0656540,D0667492
D0656185,D0656540,D0667493
D0656185,D0656186,D0656540
D0656540,D0667492,D0667493
D0655332,D0656186,D0656540
D0655332,D0656540,D0666240
D0655332,D0656540,D0667492
D0655332,D0656540,D0667493
D0656186,D0656540,D0666240
D0656186,D0656540,D0667492
D0656186,D0656540,D0667493
D0652862,D0666665,D0668289
D0652862,D0655332,D0656186
D0652862,D0655332,D0656540
D0653703,D0653704,D0665012
D0659751,D0659752,D0661344
D0659751,D0659752,D0662542
D0659751,D0661344,D0662542
D0659752,D0661344,D0662542
D0661727,D0663765,D0669525
D0661727,D0663765,D0671164
D0661727,D0669525,D0671164
D0663765,D0669525,D0671164
D0652444,D0669525,D0671164
D0677722,D0678404,D0678405
D0677722,D0678404,D0678408
D0677722,D0678404,D0682929
D0677722,D0678404,D0682930
D0677722,D0678404,D0695823
D0677722,D0678405,D0678408
D0677722,D0678405,D0682929
D0677722,D0678405,D0682930
D0677722,D0678405,D0695823
D0677722,D0678408,D0682929
D0677722,D0678408,D0682930
D0677722,D0678408,D0695823
D0677722,D0682929,D0682930
D0677722,D0682929,D0695823
D0677722,D0682929,D0692052
D0677722,D0682929,D0682931
D0677722,D0682930,D0695823
D0678404,D0678405,D0678408
D0678404,D0678405,D0682929
D0678404,D0678405,D0682930
D0678404,D0678405,D0695823
D0678404,D0678408,D0682929
D0678404,D0678408,D0682930
D0678404,D0678408,D0695823
D0678404,D0682929,D0682930
D0678404,D0682929,D0695823
D0678404,D0682929,D0692052
D0678404,D0682929,D0682931
D0678404,D0682930,D0695823
D0678405,D0678408,D0682929
D0678405,D0678408,D0682930
D0678405,D0678408,D0695823
D0678405,D0682929,D0682930
D0678405,D0682929,D0695823
D0678405,D0682929,D0692052
D0678405,D0682929,D0682931
D0678405,D0682930,D0695823
D0678408,D0682929,D0682930
D0678408,D0682929,D0695823
D0678408,D0682929,D0692052
D0678408,D0682929,D0682931
D0678408,D0682930,D0695823
D0682929,D0682930,D0695823
D0679750,D0694815,D0694816
D0689130,D0689131,D0689132
D0689130,D0689131,D0689133
D0689130,D0689132,D0689133
D0689131,D0689132,D0689133
D0676481,D0679745,D0681717
D0676481,D0679745,D0689921
D0676481,D0681717,D0689921
D0679745,D0681717,D0689921
D0679319,D0686657,D0688740
D0679319,D0686657,D0694813
D0679319,D0686657,D0688739
D0679319,D0686657,D0694812
D0679319,D0686657,D0695337
D0679319,D0686657,D0690764
D0679319,D0688740,D0694813
D0679319,D0688740,D0690764
D0679319,D0688740,D0694812
D0679319,D0688740,D0695337
D0679319,D0694813,D0695337
D0679319,D0686655,D0686657
D0679319,D0686655,D0688739
D0679319,D0686655,D0694812
D0679319,D0686655,D0695337
D0679319,D0688739,D0694812
D0679319,D0688739,D0695337
D0679319,D0688739,D0690764
D0679319,D0694812,D0695337
D0679319,D0694812,D0694813
D0686657,D0688740,D0694813
D0686657,D0688740,D0690764
D0686657,D0688740,D0694812
D0686657,D0688740,D0695337
D0686657,D0694813,D0695337
D0686657,D0688739,D0694812
D0686657,D0688739,D0695337
D0686657,D0688739,D0690764
D0686657,D0694812,D0695337
D0686657,D0694812,D0694813
D0686657,D0690764,D0694812
D0686657,D0690764,D0694813
D0686657,D0690764,D0695337
D0688740,D0694813,D0695337
D0688740,D0690764,D0694812
D0688740,D0690764,D0694813
D0688740,D0690764,D0695337
D0688740,D0694812,D0695337
D0688740,D0694812,D0694813
D0678396,D0679319,D0686657
D0678396,D0679319,D0688740
D0678396,D0679319,D0694813
D0678396,D0679319,D0686655
D0678396,D0679319,D0688739
D0678396,D0679319,D0694812
D0678396,D0679319,D0695337
D0678396,D0686655,D0686657
D0678396,D0686655,D0688739
D0678396,D0686655,D0694812
D0678396,D0686655,D0695337
D0678396,D0686657,D0688740
D0678396,D0686657,D0694813
D0678396,D0686657,D0688739
D0678396,D0686657,D0694812
D0678396,D0686657,D0695337
D0678396,D0686657,D0690764
D0678396,D0688739,D0694812
D0678396,D0688739,D0695337
D0678396,D0688739,D0690764
D0678396,D0694812,D0695337
D0678396,D0694812,D0694813
D0678396,D0688740,D0694813
D0678396,D0688740,D0690764
D0678396,D0688740,D0694812
D0678396,D0688740,D0695337
D0678396,D0690764,D0694812
D0678396,D0690764,D0694813
D0678396,D0690764,D0695337
D0678396,D0694813,D0695337
D0686655,D0686657,D0688740
D0686655,D0686657,D0694813
D0686655,D0686657,D0688739
D0686655,D0686657,D0694812
D0686655,D0686657,D0695337
D0686655,D0686657,D0690764
D0686655,D0688739,D0694812
D0686655,D0688739,D0695337
D0686655,D0688739,D0690764
D0686655,D0694812,D0695337
D0686655,D0694812,D0694813
D0688739,D0694812,D0695337
D0688739,D0694812,D0694813
D0688739,D0690764,D0694812
D0688739,D0690764,D0694813
D0688739,D0690764,D0695337
D0694812,D0694813,D0695337
D0686654,D0687484,D0689126
D0686654,D0687484,D0690349
D0686654,D0689126,D0690349
D0687484,D0689126,D0690349
D0677717,D0678396,D0679319
D0677717,D0678396,D0686655
D0677717,D0678396,D0686657
D0677717,D0678396,D0688739
D0677717,D0678396,D0694812
D0677717,D0678396,D0695337
D0677717,D0678396,D0688740
D0677717,D0678396,D0690764
D0677717,D0678396,D0694813
D0677717,D0688740,D0694813
D0677717,D0688740,D0690764
D0677717,D0688740,D0694812
D0677717,D0688740,D0695337
D0677717,D0690764,D0694812
D0677717,D0690764,D0694813
D0677717,D0690764,D0695337
D0677717,D0694812,D0695337
D0677717,D0694812,D0694813
D0677717,D0694813,D0695337
D0677717,D0686657,D0688740
D0677717,D0686657,D0694813
D0677717,D0686657,D0688739
D0677717,D0686657,D0694812
D0677717,D0686657,D0695337
D0677717,D0686657,D0690764
D0690764,D0694812,D0695337
D0690764,D0694812,D0694813
D0690764,D0694813,D0695337
D0674005,D0674007,D0693400
D0674005,D0674007,D0695338
D0674005,D0674007,D0695820
D0674005,D0693400,D0695338
D0674005,D0693400,D0695820
D0674005,D0695338,D0695820
D0674007,D0693400,D0695338
